iter	Passed	Remaining
1340	50130	323701
1341	50159	323610
1342	50186	323501
1343	50215	323410
1344	50249	323352
1345	50288	323325
1346	50315	323218
1347	50345	323134
1348	50369	323012
1349	50396	322909
1350	50415	322757
1351	50437	322623
1352	50456	322469
1353	50475	322311
1354	50495	322166
1355	50517	322032
1356	50539	321893
1357	50557	321738
1358	50578	321595
1359	50600	321461
1360	50620	321314
1361	50639	321165
1362	50662	321033
1363	50692	320954
1364	50717	320836
1365	50742	320726
1366	50771	320637
1367	50798	320533
1368	50822	320417
1369	50844	320285
1370	50870	320174
1371	50892	320044
1372	50920	319950
1373	50943	319823
1374	50966	319701
1375	50991	319584
1376	51024	319524
1377	51048	319402
1378	51068	319264
1379	51090	319131
1380	51108	318976
1381	51130	318845
1382	51149	318697
1383	51169	318550
1384	51192	318426
1385	51218	318324
1386	51245	318223
1387	51267	318096
1388	51289	317962
1389	51306	317805
1390	51329	317680
1391	51346	317524
1392	51365	317375
1393	51386	317239
1394	51404	317086
1395	51427	316964
1396	51446	316814
1397	51465	316672
1398	51486	316535
1399	51507	316404
1400	51529	316273
1401	51548	316129
1402	51567	315984
1403	51589	315854
1404	51606	315700
1405	51629	315576
1406	51647	315430
1407	51670	315307
1408	51693	315187
1409	51719	315083
1410	51742	314964
1411	51772	314887
1412	51793	314754
1413	51815	314627
1414	51844	314545
1415	51874	314471
1416	51904	314393
1417	51932	314306
1418	51966	314252
1419	51993	314159
1420	52019	314055
1421	52042	313936
1422	52063	313809
1423	52084	313675
1424	52106	313556
1425	52128	313429
1426	52154	313327
1427	52174	313195
1428	52193	313050
1429	52216	312933
1430	52241	312827
1431	52267	312727
1432	52288	312600
1433	52309	312467
1434	52329	312333
1435	52347	312189
1436	52367	312052
1437	52385	311907
1438	52404	311768
1439	52425	311638
1440	52443	311496
1441	52464	311367
1442	52485	311241
1443	52510	311136
1444	52530	310999
1445	52549	310864
1446	52568	310721
1447	52586	310577
1448	52612	310482
1449	52636	310375
1450	52663	310284
1451	52688	310179
1452	52716	310094
1453	52742	309995
1454	52767	309896
1455	52790	309781
1456	52815	309679
1457	52838	309563
1458	52860	309445
1459	52881	309318
1460	52901	309186
1461	52920	309055
1462	52938	308911
1463	52960	308791
1464	52983	308677
1465	53013	308606
1466	53038	308504
1467	53065	308418
1468	53089	308310
1469	53116	308221
1470	53144	308138
1471	53165	308014
1472	53185	307885
1473	53211	307788
1474	53237	307695
1475	53259	307574
1476	53277	307437
1477	53299	307319
1478	53323	307213
1479	53346	307101
1480	53369	306993
1481	53393	306884
1482	53417	306779
1483	53444	306693
1484	53470	306599
1485	53498	306515
1486	53523	306421
1487	53549	306326
1488	53572	306215
1489	53595	306104
1490	53620	306008
1491	53647	305920
1492	53675	305839
1493	53702	305753
1494	53733	305689
1495	53759	305596
1496	53788	305520
1497	53818	305450
1498	53849	305388
1499	53878	305310
1500	53912	305262
1501	53944	305204
1502	53978	305158
1503	54013	305121
1504	54049	305083
1505	54081	305025
1506	54117	304987
1507	54163	305008
1508	54225	305120
1509	54266	305111
1510	54306	305100
1511	54341	305060
1512	54369	304977
1513	54397	304900
1514	54427	304828
1515	54451	304728
1516	54471	304600
1517	54493	304487
1518	54518	304391
1519	54540	304278
1520	54567	304191
1521	54594	304109
1522	54623	304031
1523	54651	303956
1524	54681	303882
1525	54709	303807
1526	54735	303715
1527	54758	303606
1528	54786	303528
1529	54812	303440
1530	54836	303339
1531	54860	303237
1532	54881	303121
1533	54907	303027
1534	54937	302960
1535	54968	302900
1536	54997	302823
1537	55017	302705
1538	55038	302584
1539	55059	302467
1540	55081	302359
1541	55105	302256
1542	55132	302172
1543	55157	302079
1544	55183	301990
1545	55209	301902
1546	55234	301809
1547	55259	301716
1548	55286	301628
1549	55318	301574
1550	55386	301714
1551	55447	301819
1552	55515	301957
1553	55570	302024
1554	55614	302034
1555	55666	302088
1556	55709	302092
1557	55744	302051
1558	55775	301987
1559	55801	301901
1560	55828	301817
1561	55853	301722
1562	55875	301615
1563	55900	301517
1564	55926	301430
1565	55958	301373
1566	55983	301282
1567	56007	301184
1568	56032	301089
1569	56055	300985
1570	56089	300938
1571	56129	300929
1572	56165	300896
1573	56205	300879
1574	56240	300843
1575	56278	300817
1576	56315	300787
1577	56354	300770
1578	56398	300780
1579	56438	300768
1580	56491	300825
1581	56539	300850
1582	56590	300898
1583	56644	300960
1584	56697	301014
1585	56740	301020
1586	56823	301235
1587	56874	301274
1588	56929	301341
1589	56979	301384
1590	57024	301392
1591	57058	301350
1592	57103	301364
1593	57165	301462
1594	57200	301424
1595	57242	301421
1596	57310	301552
1597	57378	301685
1598	57426	301714
1599	57477	301757
1600	57530	301811
1601	57586	301880
1602	57647	301976
1603	57709	302074
1604	57748	302056
1605	57789	302047
1606	57832	302046
1607	57877	302056
1608	57926	302086
1609	57993	302214
1610	58049	302284
1611	58104	302346
1612	58149	302357
1613	58203	302412
1614	58249	302429
1615	58292	302428
1616	58338	302446
1617	58384	302458
1618	58428	302464
1619	58468	302448
1620	58517	302476
1621	58548	302416
1622	58580	302359
1623	58613	302306
1624	58644	302244
1625	58671	302163
1626	58698	302078
1627	58728	302009
1628	58760	301954
1629	58794	301910
1630	58834	301893
1631	58872	301865
1632	58911	301842
1633	58956	301854
1634	58999	301853
1635	59041	301848
1636	59082	301835
1637	59125	301834
1638	59162	301805
1639	59196	301760
1640	59227	301694
1641	59260	301643
1642	59282	301535
1643	59306	301438
1644	59327	301325
1645	59348	301212
1646	59370	301105
1647	59392	300998
1648	59413	300887
1649	59434	300772
1650	59457	300674
1651	59478	300559
1652	59498	300444
1653	59520	300337
1654	59541	300227
1655	59568	300143
1656	59595	300063
1657	59627	300005
1658	59658	299947
1659	59690	299891
1660	59719	299819
1661	59746	299739
1662	59773	299656
